ID;FECHA;TORNEO;MODALIDAD
-89836651;2025-07-12;AMG SEGURIDAD - 12/07/25;MEDAL
902992483;2025-07-09;DIA DE LA INDEPENDENCIA;MEDAL
2089721328;2025-07-05;AMG SEGURIDAD - 05/07/25;MEDAL
1751653355;2025-07-04;VIERNES - 04/07/25;MEDAL
1751574040;2025-07-03;JUEVES - 03/07/25;MEDAL
1751483433;2025-07-02;MIERCOLES - 02/07/25;MEDAL
558587746;2025-06-28;RODRIGUEZ CAMPOS;MEDAL
1648780539;2025-06-16;BIALYSTOK - 16/06/25;MEDAL
1515656247;2025-06-14;BIALYSTOK XL;MEDAL
2108726770;2025-06-07;BIALYSTOK - 07/06/25;MEDAL
-1964936572;2025-05-31;SARMIENTO MATERIALES - 31/05/25;MEDAL
1748201151;2025-05-25;DOMINGO - 25/05/25;MEDAL
-1316921875;2025-05-24;BALCONES DEL GOLF;MEDAL
509144260;2025-05-17;S.G.J.MALDONADO;MEDAL
1747411494;2025-05-16;VIERNES - 16/05/25;MEDAL
2009948904;2025-05-15;JUEVES - 15/05/25;MEDAL
1747240995;2025-05-14;MIERCOLES - 14/05/25;MEDAL
1747159549;2025-05-13;MARTES - 13/05/25;MEDAL
1746981958;2025-05-11;DOMINGO - 11/05/25;MEDAL
-1763403455;2025-05-10;MUNICIPALIDAD DE VILLA MARIA;MEDAL
-352593916;2025-05-06;MARTES - 06/05/25;MEDAL
54590711;2025-05-03;SURCAR - 03/05/25;MEDAL
-1736465900;2025-05-02;VIERNES - 02/05/25;MEDAL
-536643582;2025-05-01;SURCAR - 01/05/25;MEDAL
-694929497;2025-04-30;MIERCOLES - 30/04/25;MEDAL
1745952138;2025-04-29;MARTES - 29/04/25;MEDAL
-1946068694;2025-04-26;SURCAR - 26/04/25;MEDAL
-999296431;2025-04-24;JUEVES - 24/04/25;MEDAL
1745436078;2025-04-23;MIERCOLES - 23/04/25;MEDAL
1745508317;2025-04-23;9 HOYOS;MEDAL 9 HOYOS- MEDAL 9 HOYOS
1745349511;2025-04-22;MARTES - 22/04/25;MEDAL
-87455791;2025-04-20;DOMINGO - 20/04/25;MEDAL
776795990;2025-04-19;DE PASCUAS - 19/04/25;MEDAL
1744918403;2025-04-18;DE PASCUAS - 18/04/25;MEDAL
-206696947;2025-04-12;SURCAR - 12/04/25;MEDAL
1744386492;2025-04-11;VIERNES - 11/04/25;MEDAL
1585859317;2025-04-06;DOMINGO - 06/04/25;MEDAL
1875523642;2025-04-05;LONDON INDUMENTARIA - 05/04/25;MEDAL
1743701159;2025-04-03;JUEVES - 03/04/25;MEDAL
-1118897397;2025-04-02;MALVINAS - 02/04/25;MEDAL
2051493656;2025-04-01;MARTES - 01/04/25;MEDAL
1743180016;2025-03-29;VETERANOS OK - 29/03/25;FOUR BALL AMERICANA
1743539639;2025-03-27;JUEVES - 27/03/25;MEDAL
-1259153834;2025-03-22;OTOÑO - 22/03/25;MEDAL
1742582217;2025-03-21;VIERNES - 21/03/25;MEDAL
1795021115;2025-03-20;JUEVES - 20/03/25;MEDAL
1742403198;2025-03-19;MIERCOLES - 19/03/25;MEDAL
1742326741;2025-03-18;MARTES - 18/03/25;MEDAL
1741977045;2025-03-15;ULTIMOS 18 H / CONCOR TEX;MEDAL
1741479260;2025-03-14;APERTURA / CONCOR TEX - 14/03/25;MEDAL
1741984212;2025-03-14;VIERNES - 14/03/25;MEDAL
862601627;2025-03-13;JUEVES - 13/03/25;MEDAL
1741808372;2025-03-12;MIERCOLES - 12/03/25;MEDAL
1741725495;2025-03-11;MARTES - 11/03/25;MEDAL
1741540290;2025-03-09;DOMINGO - 09/03/25;MEDAL
-1278619863;2025-03-05;MIERCOLES - 05/03/25;MEDAL
-817114667;2025-03-01;CARNAVAL - 01/03/25;MEDAL
683855169;2025-02-23;DOMINGO - 23/02/25;MEDAL
841544100;2025-02-22;CARNAVAL - 22/02/25;MEDAL
-2028788679;2025-02-15;CARNAVAL - 15/02/25;MEDAL
-2105683944;2025-02-14;VIERNES - 14/02/25;MEDAL
1739120220;2025-02-09;DOMINGO - 09/02/25;MEDAL
22586715;2025-02-08;57° FESTIVAL DE PEÑAS;MEDAL
314714463;2025-02-07;VIERNES - 07/02/25;MEDAL
1476412705;2025-02-05;MIERCOLES - 05/02/25 - 01;MEDAL
1738789213;2025-02-05;MIERCOLES - 05/02/25 - 02;MEDAL
1738514308;2025-02-02;DOMINGO - 02/02/25;MEDAL
-685035423;2025-02-01;CIRCUITO PEÑERO - 01/02/25;MEDAL
350321096;2025-01-30;JUEVES - 30/01/25;MEDAL
521441430;2025-01-29;MIERCOLES - 29/01/25;MEDAL
1738086111;2025-01-28;MARTES - 28/01/25;MEDAL
-504918560;2025-01-25;CIRCUITO PEÑERO - 25/01/25;MEDAL
-1552928391;2025-01-24;VIERNES - 24/01/25;MEDAL
-823873890;2025-01-23;JUEVES - 23/01/25;MEDAL
1936441182;2025-01-22;MIERCOLES - 22/01/25;MEDAL
-1366660092;2025-01-21;MARTES - 21/01/25;MEDAL
74930080;2025-01-19;DOMINGO - 19/01/25;MEDAL
1699936187;2025-01-18;CIRCUITO PEÑERO - 18/01/25;MEDAL
1579504866;2025-01-11;CIRCUITO PEÑERO - 11/01/25;MEDAL
3338995;2025-01-10;VIERNES - 10/01/25;MEDAL
-1417786610;2025-01-09;JUEVES - 09/01/25;MEDAL
1751536151;2025-01-08;MIERCOLES - 08/01/25;MEDAL
-1310609829;2025-01-07;MARTES - 07/01/25;MEDAL
1736093969;2025-01-05;DOMINGO - 05/01/25;MEDAL
877613310;2025-01-04;AÑO NUEVO - 04/01/25;MEDAL
-1234937111;2024-12-28;PEDROLGA;MEDAL
759789150;2024-12-27;VIERNES - 27/12/24;MEDAL
1735056707;2024-12-24;MARTES - 24/12/24;MEDAL
472122370;2024-12-22;DOMINGO - 22/12/24;MEDAL
-1585422323;2024-12-21;TARRES INMOBILIARIA;MEDAL
1734557727;2024-12-18;MIERCOLES - 18/12/24;MEDAL
1734109962;2024-12-14;CAPITAN / PRESIDENTE - 14/12/24;MEDAL
275063778;2024-12-13;VIERNES - 13/12/24;MEDAL
1734041195;2024-12-12;JUEVES - 12/12/24;MEDAL
-1153133174;2024-12-11;MIERCOLES - 11/12/24;MEDAL
1733854232;2024-12-10;MARTES - 10/12/24;MEDAL
-441162391;2024-12-07;VENERANDA - 07/12/24;MEDAL
1438024712;2024-12-06;VIERNES - 06/12/24;MEDAL
-1807638910;2024-12-05;JUEVES - 05/12/24;MEDAL
626559999;2024-12-04;MIERCOLES - 04/12/24;MEDAL
1733251498;2024-12-03;MARTES - 03/12/24;MEDAL
-76065486;2024-11-30;CARDON - 30/11/24;MEDAL
69037700;2024-11-27;MIERCOLES - 27/11/24;MEDAL
1732646222;2024-11-26;MARTES - 26/11/24;MEDAL
-206966039;2024-11-23;SCAUSO S.R.L - 23/11/24;MEDAL
1732050981;2024-11-19;MARTES - 19/11/24;MEDAL
1731958414;2024-11-18;LUNES - 18/11/24;MEDAL
-10725189;2024-11-16;SCAUSO S.R.L / CLASIFICACION;MEDAL
1731617806;2024-11-14;JUEVES - 14/11/24;MEDAL
1527013751;2024-11-13;MIERCOLES - 13/11/24;MEDAL
1731436587;2024-11-12;MARTES - 12/11/24;MEDAL
1731261633;2024-11-10;DOMINGO - 10/11/24;MEDAL
1578140878;2024-11-09;2° BIRDIE OPEN;MEDAL
-793322207;2024-11-07;JUEVES - 07/11/24;MEDAL
1730834545;2024-11-05;MARTES - 05/11/24;MEDAL
1730478038;2024-11-02;CINDY - 02/11/24;MEDAL
3500714;2024-10-31;JUEVES - 31/10/24;MEDAL
849000586;2024-10-30;MIERCOLES - 30/10/24;MEDAL
1730219946;2024-10-29;MARTES - 29/10/24;MEDAL
1729979721;2024-10-27;CLASIFICATORIO SENIOR;MEDAL
-529218669;2024-10-26;LEGACY - 26/10/24;MEDAL
1729875738;2024-10-25;VIERNES - 25/10/24;MEDAL
-528752879;2024-10-19;LE PARC - 19/10/24;MEDAL
